
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
35,09-24-2016 11:59,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 36.0,,0.0,,0.0,,0.0,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Na,Na Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ba,Ba Err,Cal Check
36,09-24-2016 12:15,Supervisor,OBSIDIAN,36,,,MudrockMajor,MudrockMajor,  5.0,,0.0,,0.0,,0.0,  0.6455,  0.1312,< LOD,2403.2610, 13.6875,  0.4144, 31.4330,  0.3477,< LOD,  0.0270,< LOD,  0.0142, 10.8225,  0.0862,  1.0427,  0.0134,  0.0591,  0.0023,  0.0132,  0.0033,< LOD,  0.0024,  0.0174,  0.0031,  0.3744,  0.0036,  0.0001,  0.0001,  0.0081,  0.0004,  0.0067,  0.0032,  0.0189,  0.0032,< LOD,  0.1059,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
37,09-24-2016 12:16,Supervisor,OBSIDIAN,36,,,MudrockTrace,MudrockTrace, 10.0,NO RESULTS,100.0,,0.0,,0.0,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mn,Mn Err,Fe,Fe Err,Zn,Zn Err,Ga,Ga Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Th,Th Err,RbSrY,RbSrY Err,RbSrYZr,RbSrYZr Err,Cal Check
38,09-24-2016 12:16,Supervisor,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN,  5.0,,0.0,,0.0,,0.0,< LOD,  0.0095,  0.1687,  0.0059,< LOD,  0.0020,  0.0019,  0.0003,  0.0019,  0.0006,  0.4624,  0.0061,  0.0034,  0.0005,  0.1448,  0.0031,< LOD,  0.0006,  0.0007,  0.0007,  0.4677,  0.0000,  0.6125,  0.0000,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
39,09-24-2016 12:17,Supervisor,OBSIDIAN,36,,,MudrockTrace,MudrockTrace,  4.0,NO RESULTS,100.0,,0.0,,0.0,Passed
40,09-24-2016 12:19,Supervisor,OBSIDIAN,36,,,MudrockTrace,MudrockTrace,  6.0,NO RESULTS,100.0,,0.0,,0.0,Passed
41,09-24-2016 12:19,Supervisor,OBSIDIAN,36,,,MudrockTrace,MudrockTrace,  3.0,NO RESULTS,100.0,,0.0,,0.0,Passed
42,09-24-2016 17:23,SERVICE,OBSIDIAN,36,,,Spectrum Only,,  4.0,,0.0,,0.0,,0.0,Passed
43,09-24-2016 17:30,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
44,09-24-2016 17:51,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
45,09-24-2016 17:52,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
46,09-24-2016 17:59,Supervisor,OBSIDIAN,36,,,Spectrum Only,,  9.0,,0.0,,0.0,,0.0,Passed
47,09-24-2016 18:05,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
48,09-24-2016 19:52,Supervisor,OBSIDIAN,36,,,MudrockTrace,MudrockTrace, 26.0,NO RESULTS,100.0,,0.0,,0.0,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Na,Na Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ba,Ba Err,Cal Check
49,09-24-2016 19:53,Supervisor,OBSIDIAN,36,,,MudrockMajor,MudrockMajor, 19.0,,0.0,,0.0,,0.0,  0.6546,  0.0601,< LOD,901.6077, 13.1444,  0.2101, 30.8489,  0.1780,< LOD,  0.0132,< LOD,  0.0071, 11.3587,  0.0454,  1.0705,  0.0069,  0.0604,  0.0012,  0.0138,  0.0018,< LOD,  0.0013,  0.0172,  0.0016,  0.4226,  0.0023,  0.0001,  0.0000,  0.0079,  0.0002,  0.0075,  0.0017,  0.0163,  0.0017,< LOD,  0.0560,Passed
50,09-25-2016 12:34,Supervisor,OBSIDIAN,36,,,MudrockMajor,MudrockMajor, 13.0,,0.0,,0.0,,0.0,  0.5538,  0.0639,< LOD,1788.4397, 11.4171,  0.2533, 22.6895,  0.1957,  0.0371,  0.0176,  0.2138,  0.0128,  3.0757,  0.0308,  0.4876,  0.0070,  0.4355,  0.0052,  0.0081,  0.0028,  0.0018,  0.0015,  0.0267,  0.0021,  3.1187,  0.0122,  0.0011,  0.0001,  0.0064,  0.0002,< LOD,  0.0017,  0.0035,  0.0016,< LOD,  0.1746,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mn,Mn Err,Fe,Fe Err,Zn,Zn Err,Ga,Ga Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Th,Th Err,RbSrY,RbSrY Err,RbSrYZr,RbSrYZr Err,Cal Check
51,09-25-2016 13:03,Supervisor,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN,  3.0,,0.0,,0.0,,0.0,< LOD,  0.0087,  0.1726,  0.0103,  0.0054,  0.0045,  0.0014,  0.0003,  0.0011,  0.0007,  0.0029,  0.0009,  0.0009,  0.0005,  0.0044,  0.0008,< LOD,  0.0010,< LOD,  0.0008,  0.0049,  0.0000,  0.0093,  0.0000,Passed
52,09-25-2016 13:04,Supervisor,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN,  8.0,,0.0,,0.0,,0.0,  0.3323,  0.0286, 17.2034,  0.1879,  0.3471,  0.0147,  0.0051,  0.0008,  0.0003,  0.0003,  0.0007,  0.0003,  0.0006,  0.0003,  0.0027,  0.0003,< LOD,  0.0006,< LOD,  0.0006,  0.0015,  0.0000,  0.0042,  0.0000,Passed
53,09-25-2016 13:04,Supervisor,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN,  4.0,,0.0,,0.0,,0.0,  0.3593,  0.0416, 17.3415,  0.2628,  0.3389,  0.0202,  0.0049,  0.0010,< LOD,  0.0003,  0.0003,  0.0002,  0.0006,  0.0003,  0.0024,  0.0006,< LOD,  0.0011,< LOD,  0.0007,  0.0012,  0.0000,  0.0036,  0.0000,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
54,09-25-2016 13:10,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
55,09-25-2016 13:13,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
56,09-25-2016 13:14,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
57,09-25-2016 13:45,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed


